0,10.692
1,5.5067
2,3.4902
3,2.4859
4,1.7618
5,1.1856
6,0.60947
7,0.4016
8,0.23865
9,0.035608
10,0.021134
11,0.17243
12,0.22785
13,0.31292
14,0.52495
15,0.7974
16,0.85073
17,1.1856
18,1.4737
19,1.7618
20,2.0112
21,2.4975
22,2.7303
23,3.0625
24,3.4211
25,3.7596
26,4.0664
27,4.4365
28,4.9176
29,5.1154
30,5.5067
31,5.9526
32,6.3187
33,6.5917
34,7.0766
35,7.3919
36,7.7167
37,7.9852
38,8.3799
39,8.5825
40,8.9445
41,9.2021
42,9.4593
43,9.5398
44,9.8092
45,10.051
46,10.07
47,10.26
48,10.349
49,10.308
50,10.383
51,10.485
52,10.406
53,10.404
54,10.481
55,10.488
56,10.373
57,10.4
58,10.413
59,10.285
60,10.256
61,10.292
62,10.197
63,10.082
64,10.068
65,10.051
66,9.8638
67,9.9284
68,9.9476
69,9.8278
70,9.7743
71,9.7722
72,9.6606
73,9.7008
74,9.7142
75,9.6666
76,9.6566
77,9.6671
78,9.6873
79,9.6567
80,9.6879
81,9.7827
82,9.7877
83,9.8189
84,9.9378
85,10.045
86,10.061
87,10.268
88,10.458
89,10.578
90,10.803
91,11.153
92,11.307
93,11.763
94,12.132
95,12.624
96,13.239
97,13.861
98,15.013
99,16.098
100,19.046
99,22.118
98,23.367
97,24.388
96,25.096
95,25.96
94,26.685
93,27.17
92,27.918
91,28.417
90,28.964
89,29.447
88,29.982
87,30.342
86,30.857
85,31.283
84,31.638
83,32.01
82,32.459
81,32.756
80,33.091
79,33.528
78,33.843
77,34.026
76,34.42
75,34.728
74,34.965
73,35.243
72,35.545
71,35.754
70,35.973
69,36.331
68,36.507
67,36.759
66,37.01
65,37.269
64,37.338
63,37.717
62,37.832
61,37.942
60,38.166
59,38.363
58,38.454
57,38.522
56,38.838
55,38.91
54,38.982
53,39.132
52,39.247
51,39.263
50,39.419
49,39.482
48,39.497
47,39.501
46,39.561
45,39.549
44,39.465
43,39.523
42,39.499
41,39.332
40,39.283
39,39.229
38,39.012
37,38.812
36,38.703
35,38.43
34,38.19
33,37.955
32,37.649
31,37.219
30,36.958
29,36.619
28,36.331
27,35.843
26,35.528
25,35.009
24,34.602
23,34.232
22,33.738
21,33.244
20,32.63
19,32.229
18,31.485
17,30.998
16,30.326
15,29.761
14,28.983
13,28.372
12,27.516
11,26.846
10,25.96
9,25.137
8,24.232
7,23.367
6,22.328
5,21.076
4,19.957
3,18.532
2,17.114
1,14.725
